epoch,loss,val_loss
0,382.28293550931488,101.71324920654297
1,107.38003187913161,121.56578063964844
2,107.01050156813402,108.43111419677734
3,90.860223036545975,82.563125610351562
4,81.174201378455535,76.934280395507812
5,72.347489577073318,67.324310302734375
6,64.573780646690949,62.679824829101562
7,58.043961451603813,52.281097412109375
8,51.163568643423226,52.80084228515625
9,47.522005814772385,43.689342498779297
10,43.01057375394381,46.422164916992188
11,41.274993016169624,38.592567443847656
12,38.348005441518929,42.460540771484375
13,36.831361917349007,35.025539398193359
