Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
1,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
2,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
3,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
4,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
5,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
6,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
7,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
8,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
9,256,13.00000,0.92857,5.00000,1.00000,0.51697,0.51697
10,256,11.00000,0.78571,5.00000,1.00000,0.35831,0.35831
11,256,12.00000,0.85714,5.00000,1.00000,0.61479,0.61479
12,256,12.00000,0.85714,5.00000,1.00000,0.61479,0.61479
13,256,12.00000,0.85714,5.00000,1.00000,0.61479,0.61479
